id,br_celular_fmt,br_celular_sem,br_fixo_fmt,com_ddi,tpch_style
297,(31) 978712-7229,319787127229,(31) 2605-4968,+55 31 978712-7229,31-132-686-2800
298,(41) 912482-8225,419124828225,(41) 3284-7861,+55 41 912482-8225,41-255-522-4340
299,(61) 975774-8726,619757748726,(61) 5575-2020,+55 61 975774-8726,61-822-241-9498
300,(41) 983516-6325,419835166325,(41) 4712-8837,+55 41 983516-6325,41-638-485-6140
301,(31) 970249-9734,319702499734,(31) 3402-9950,+55 31 970249-9734,31-462-792-5331
302,(85) 973462-4150,859734624150,(85) 5921-5038,+55 85 973462-4150,85-385-671-5890
303,(41) 949008-5735,419490085735,(41) 4887-4396,+55 41 949008-5735,41-806-821-9011
304,(51) 972888-6714,519728886714,(51) 4295-5480,+55 51 972888-6714,51-394-224-9899
305,(61) 961712-6654,619617126654,(61) 5910-3399,+55 61 961712-6654,61-397-143-5712
306,(21) 955398-8247,219553988247,(21) 4686-5201,+55 21 955398-8247,21-865-590-4505
307,(41) 980592-5442,419805925442,(41) 5821-5450,+55 41 980592-5442,41-240-211-4920
308,(41) 916653-9700,419166539700,(41) 2924-4814,+55 41 916653-9700,41-153-202-7771
309,(51) 971918-2647,519719182647,(51) 4790-3252,+55 51 971918-2647,51-105-663-3587
310,(61) 995575-8793,619955758793,(61) 3955-4267,+55 61 995575-8793,61-874-394-6262
311,(48) 994659-1969,489946591969,(48) 5718-2465,+55 48 994659-1969,48-767-687-4804
312,(81) 914888-3868,819148883868,(81) 3711-3880,+55 81 914888-3868,81-137-956-7504
313,(71) 934420-5742,719344205742,(71) 5591-1613,+55 71 934420-5742,71-109-405-2758
314,(51) 947298-8444,519472988444,(51) 4626-9901,+55 51 947298-8444,51-636-605-3198
315,(81) 971344-5470,819713445470,(81) 2789-2845,+55 81 971344-5470,81-438-266-8518
316,(48) 934405-1230,489344051230,(48) 5017-6523,+55 48 934405-1230,48-909-402-4164
317,(31) 990079-7643,319900797643,(31) 5387-8007,+55 31 990079-7643,31-627-435-2421
318,(61) 997720-2562,619977202562,(61) 2756-3303,+55 61 997720-2562,61-588-431-5064
319,(11) 944181-7284,119441817284,(11) 2964-8319,+55 11 944181-7284,11-871-373-6400
320,(48) 986344-1187,489863441187,(48) 3071-6890,+55 48 986344-1187,48-809-341-2017
321,(21) 971000-6026,219710006026,(21) 2654-7642,+55 21 971000-6026,21-802-614-6095
322,(21) 993717-5833,219937175833,(21) 3505-4618,+55 21 993717-5833,21-324-236-8834
323,(31) 969634-7121,319696347121,(31) 3703-9998,+55 31 969634-7121,31-582-875-9806
324,(41) 942435-2341,419424352341,(41) 4152-8319,+55 41 942435-2341,41-640-820-6927
325,(21) 983946-2838,219839462838,(21) 2252-9972,+55 21 983946-2838,21-617-307-9792
326,(31) 931566-6375,319315666375,(31) 5499-9525,+55 31 931566-6375,31-552-219-4365
327,(85) 974071-2489,859740712489,(85) 5681-9361,+55 85 974071-2489,85-556-928-1911
328,(71) 927294-9409,719272949409,(71) 3701-8484,+55 71 927294-9409,71-677-159-8575
329,(48) 912853-7487,489128537487,(48) 3042-1049,+55 48 912853-7487,48-863-323-2196
330,(11) 965534-6644,119655346644,(11) 4868-2044,+55 11 965534-6644,11-654-161-2130
331,(71) 914159-5703,719141595703,(71) 3674-3948,+55 71 914159-5703,71-887-238-7887
332,(51) 960132-8348,519601328348,(51) 5561-7184,+55 51 960132-8348,51-484-182-9835
333,(31) 995660-6697,319956606697,(31) 2485-3924,+55 31 995660-6697,31-650-502-9664
334,(31) 939188-1056,319391881056,(31) 5097-1372,+55 31 939188-1056,31-405-574-9920
335,(61) 979721-7214,619797217214,(61) 5372-4762,+55 61 979721-7214,61-353-571-6671
336,(31) 946129-4088,319461294088,(31) 5839-2848,+55 31 946129-4088,31-132-928-7868
337,(85) 912050-4943,859120504943,(85) 2844-2102,+55 85 912050-4943,85-203-708-1550
338,(71) 988352-1797,719883521797,(71) 3002-1724,+55 71 988352-1797,71-511-549-4839
339,(81) 938477-1924,819384771924,(81) 2573-9255,+55 81 938477-1924,81-396-339-6224
340,(85) 988370-6253,859883706253,(85) 2970-5944,+55 85 988370-6253,85-997-246-9540
341,(41) 964206-5923,419642065923,(41) 3127-1998,+55 41 964206-5923,41-670-705-3869
342,(61) 982856-9120,619828569120,(61) 2192-6642,+55 61 982856-9120,61-758-787-7244
343,(81) 951777-7821,819517777821,(81) 3672-3444,+55 81 951777-7821,81-407-485-4012
344,(81) 972065-4948,819720654948,(81) 5478-4692,+55 81 972065-4948,81-407-978-3365
345,(71) 917552-7761,719175527761,(71) 5964-7824,+55 71 917552-7761,71-670-642-3196
346,(61) 941831-5177,619418315177,(61) 2832-6411,+55 61 941831-5177,61-762-180-8369
347,(51) 922119-9775,519221199775,(51) 4967-4120,+55 51 922119-9775,51-152-374-7179
348,(85) 989026-1647,859890261647,(85) 5578-2192,+55 85 989026-1647,85-292-923-4555
349,(71) 937379-6455,719373796455,(71) 3241-1251,+55 71 937379-6455,71-316-294-2922
350,(71) 941797-4350,719417974350,(71) 3624-4921,+55 71 941797-4350,71-665-429-5637
351,(61) 971112-9743,619711129743,(61) 4657-6886,+55 61 971112-9743,61-415-367-6892
352,(81) 975179-8635,819751798635,(81) 2403-8692,+55 81 975179-8635,81-879-959-6246
353,(41) 958589-6126,419585896126,(41) 3695-1749,+55 41 958589-6126,41-676-984-4625
354,(31) 912125-5272,319121255272,(31) 4266-7841,+55 31 912125-5272,31-402-256-4214
355,(51) 940149-7223,519401497223,(51) 4333-5026,+55 51 940149-7223,51-611-663-6530
356,(48) 974044-9037,489740449037,(48) 3887-3756,+55 48 974044-9037,48-850-914-6770
357,(31) 928344-9954,319283449954,(31) 4000-4015,+55 31 928344-9954,31-655-757-1962
358,(81) 914433-2217,819144332217,(81) 5871-1794,+55 81 914433-2217,81-882-106-7756
359,(31) 992667-4791,319926674791,(31) 2278-3474,+55 31 992667-4791,31-109-323-9285
360,(71) 958916-1990,719589161990,(71) 4530-8916,+55 71 958916-1990,71-775-599-1257
361,(11) 979758-7739,119797587739,(11) 2048-1274,+55 11 979758-7739,11-642-839-5501
362,(81) 947576-1280,819475761280,(81) 4057-8054,+55 81 947576-1280,81-925-283-2753
363,(21) 978732-3439,219787323439,(21) 2987-4144,+55 21 978732-3439,21-734-639-5135
364,(51) 945038-7502,519450387502,(51) 2323-7112,+55 51 945038-7502,51-515-570-4984
365,(41) 949318-2320,419493182320,(41) 4677-1519,+55 41 949318-2320,41-195-515-7213
366,(61) 982443-8798,619824438798,(61) 2229-1154,+55 61 982443-8798,61-819-275-2354
367,(71) 966873-6427,719668736427,(71) 4317-2562,+55 71 966873-6427,71-640-143-4764
368,(41) 984289-8790,419842898790,(41) 3110-1762,+55 41 984289-8790,41-176-800-5593
369,(81) 983860-1539,819838601539,(81) 2734-6152,+55 81 983860-1539,81-116-312-3362
370,(61) 920084-5903,619200845903,(61) 2665-4939,+55 61 920084-5903,61-680-954-7375
371,(81) 953480-7288,819534807288,(81) 5094-3292,+55 81 953480-7288,81-909-805-2284
372,(81) 955332-1879,819553321879,(81) 2400-8161,+55 81 955332-1879,81-337-958-2245
373,(51) 989320-7499,519893207499,(51) 5968-6347,+55 51 989320-7499,51-130-749-5478
374,(71) 974304-4737,719743044737,(71) 3457-7150,+55 71 974304-4737,71-542-290-7227
375,(21) 991083-5839,219910835839,(21) 5268-5037,+55 21 991083-5839,21-830-175-2344
376,(48) 930214-7225,489302147225,(48) 4915-3527,+55 48 930214-7225,48-857-498-6188
377,(51) 923965-2499,519239652499,(51) 2021-6050,+55 51 923965-2499,51-555-468-5419
378,(21) 927367-2430,219273672430,(21) 2767-8061,+55 21 927367-2430,21-559-670-9395
379,(61) 923538-1430,619235381430,(61) 2367-6798,+55 61 923538-1430,61-667-195-6315
380,(61) 911617-5781,619116175781,(61) 3694-7353,+55 61 911617-5781,61-897-186-4977
381,(85) 978302-3778,859783023778,(85) 4807-7237,+55 85 978302-3778,85-273-242-5405
382,(48) 945180-9079,489451809079,(48) 2597-2036,+55 48 945180-9079,48-271-545-5521
383,(61) 949289-8933,619492898933,(61) 5205-2260,+55 61 949289-8933,61-469-357-5040
384,(71) 987831-4203,719878314203,(71) 3875-2752,+55 71 987831-4203,71-238-411-1110
385,(61) 953544-7224,619535447224,(61) 5293-6399,+55 61 953544-7224,61-550-442-8055
386,(85) 927842-5922,859278425922,(85) 3313-4290,+55 85 927842-5922,85-590-421-3910
387,(61) 951830-5775,619518305775,(61) 5010-9044,+55 61 951830-5775,61-689-900-4971
388,(51) 959290-5592,519592905592,(51) 5344-7437,+55 51 959290-5592,51-473-216-4273
389,(85) 981516-3947,859815163947,(85) 4792-1440,+55 85 981516-3947,85-844-572-4434
390,(71) 948185-2133,719481852133,(71) 5354-7703,+55 71 948185-2133,71-789-611-3280
391,(48) 941722-5139,489417225139,(48) 4697-3525,+55 48 941722-5139,48-832-533-7176
392,(21) 968860-8851,219688608851,(21) 4384-7566,+55 21 968860-8851,21-647-618-7853
393,(81) 914818-6890,819148186890,(81) 4873-9796,+55 81 914818-6890,81-708-753-2392
394,(21) 942536-6816,219425366816,(21) 2681-1725,+55 21 942536-6816,21-676-760-7547
395,(51) 966420-2735,519664202735,(51) 2043-2615,+55 51 966420-2735,51-364-327-9366
396,(81) 983137-4621,819831374621,(81) 3825-7129,+55 81 983137-4621,81-500-574-9199
397,(31) 955215-1402,319552151402,(31) 3977-2712,+55 31 955215-1402,31-402-525-2406
398,(21) 928569-6707,219285696707,(21) 3277-6620,+55 21 928569-6707,21-566-903-4389
399,(81) 973298-6706,819732986706,(81) 3950-2599,+55 81 973298-6706,81-548-839-8412
400,(51) 918804-5919,519188045919,(51) 2183-2885,+55 51 918804-5919,51-123-969-6620
401,(21) 998754-3692,219987543692,(21) 5808-4996,+55 21 998754-3692,21-628-278-3623
402,(51) 983380-7985,519833807985,(51) 5925-8570,+55 51 983380-7985,51-337-916-7636
403,(31) 934430-8080,319344308080,(31) 3620-1478,+55 31 934430-8080,31-855-728-4232
404,(71) 987621-8037,719876218037,(71) 3592-1072,+55 71 987621-8037,71-821-319-4371
405,(48) 918200-2667,489182002667,(48) 5274-9796,+55 48 918200-2667,48-291-474-6340
406,(41) 969972-2867,419699722867,(41) 3074-9019,+55 41 969972-2867,41-640-754-6134
407,(85) 960939-7431,859609397431,(85) 4404-2871,+55 85 960939-7431,85-456-460-8501
408,(85) 932613-5873,859326135873,(85) 5762-2388,+55 85 932613-5873,85-788-237-6131
409,(21) 941270-6003,219412706003,(21) 2479-3999,+55 21 941270-6003,21-482-810-3316
410,(81) 960916-7852,819609167852,(81) 4442-3258,+55 81 960916-7852,81-688-492-7931
411,(31) 973788-9804,319737889804,(31) 4840-3838,+55 31 973788-9804,31-668-270-9022
412,(48) 928388-4065,489283884065,(48) 3288-8389,+55 48 928388-4065,48-734-154-6882
413,(11) 973518-3236,119735183236,(11) 2799-7290,+55 11 973518-3236,11-675-617-9109
414,(61) 999744-9056,619997449056,(61) 3702-8272,+55 61 999744-9056,61-600-271-2354
415,(85) 914044-4613,859140444613,(85) 3196-1535,+55 85 914044-4613,85-381-330-9808
416,(48) 932047-8492,489320478492,(48) 4316-9115,+55 48 932047-8492,48-662-623-2854
417,(85) 924969-5389,859249695389,(85) 5174-9898,+55 85 924969-5389,85-943-475-9880
418,(11) 967850-9951,119678509951,(11) 2895-7965,+55 11 967850-9951,11-204-853-5055
419,(48) 914224-8368,489142248368,(48) 3076-6711,+55 48 914224-8368,48-982-936-2425
420,(71) 925386-4882,719253864882,(71) 2859-6744,+55 71 925386-4882,71-981-827-8015
421,(31) 990760-3281,319907603281,(31) 5214-4385,+55 31 990760-3281,31-933-311-1972
422,(85) 955982-9720,859559829720,(85) 3151-9827,+55 85 955982-9720,85-272-431-5794
423,(48) 985069-5380,489850695380,(48) 5901-9428,+55 48 985069-5380,48-795-934-2560
424,(31) 963948-1971,319639481971,(31) 3135-3078,+55 31 963948-1971,31-818-986-3174
425,(41) 929168-6277,419291686277,(41) 5393-5055,+55 41 929168-6277,41-879-963-7434
426,(71) 928634-5402,719286345402,(71) 4571-7786,+55 71 928634-5402,71-484-562-2237
427,(21) 962802-9447,219628029447,(21) 5071-5558,+55 21 962802-9447,21-811-998-7046
428,(71) 973968-6362,719739686362,(71) 4383-1040,+55 71 973968-6362,71-989-892-2526
429,(71) 993209-6869,719932096869,(71) 5482-2037,+55 71 993209-6869,71-914-647-7516
430,(41) 966314-4470,419663144470,(41) 4026-5399,+55 41 966314-4470,41-430-948-5646
431,(51) 981737-3139,519817373139,(51) 4318-8951,+55 51 981737-3139,51-907-451-1793
432,(11) 923051-8529,119230518529,(11) 2066-3035,+55 11 923051-8529,11-978-261-8230
433,(71) 910088-8009,719100888009,(71) 2828-3161,+55 71 910088-8009,71-765-409-3604
434,(48) 922234-6905,489222346905,(48) 3025-2350,+55 48 922234-6905,48-480-780-3711
435,(11) 961949-6005,119619496005,(11) 4973-4836,+55 11 961949-6005,11-539-771-2494
436,(21) 910142-4496,219101424496,(21) 3953-2276,+55 21 910142-4496,21-235-707-4705
437,(81) 999126-8291,819991268291,(81) 2038-1132,+55 81 999126-8291,81-812-451-2975
438,(61) 927324-8826,619273248826,(61) 2290-4751,+55 61 927324-8826,61-492-191-2678
439,(21) 951071-7022,219510717022,(21) 5608-5902,+55 21 951071-7022,21-240-491-3181
440,(31) 918966-9691,319189669691,(31) 4307-1138,+55 31 918966-9691,31-724-765-3688
441,(71) 956030-4490,719560304490,(71) 4572-3480,+55 71 956030-4490,71-521-730-8248
442,(41) 921362-2646,419213622646,(41) 2573-3017,+55 41 921362-2646,41-703-847-7291
443,(51) 966280-6152,519662806152,(51) 5240-3290,+55 51 966280-6152,51-353-383-2380
444,(41) 982534-5668,419825345668,(41) 5190-1439,+55 41 982534-5668,41-968-967-5942
445,(41) 977862-9348,419778629348,(41) 2772-7418,+55 41 977862-9348,41-402-761-1894
446,(41) 974865-7322,419748657322,(41) 2461-4949,+55 41 974865-7322,41-611-753-2163
447,(81) 911581-6916,819115816916,(81) 5825-6185,+55 81 911581-6916,81-235-496-7895
448,(51) 981612-3830,519816123830,(51) 5124-8717,+55 51 981612-3830,51-888-174-1273
449,(85) 918851-1225,859188511225,(85) 3073-4534,+55 85 918851-1225,85-140-161-7520
450,(81) 947550-9209,819475509209,(81) 5142-7806,+55 81 947550-9209,81-533-818-7590
451,(21) 993956-9791,219939569791,(21) 4202-3501,+55 21 993956-9791,21-384-185-6077
452,(21) 977017-4329,219770174329,(21) 5990-3545,+55 21 977017-4329,21-649-434-7401
453,(85) 993138-2083,859931382083,(85) 3270-8167,+55 85 993138-2083,85-847-966-4909
454,(11) 942044-2412,119420442412,(11) 5787-8118,+55 11 942044-2412,11-218-564-1901
455,(48) 997304-3877,489973043877,(48) 2489-1207,+55 48 997304-3877,48-824-240-1185
456,(31) 975065-6680,319750656680,(31) 4142-9474,+55 31 975065-6680,31-901-942-5247
457,(31) 958741-3079,319587413079,(31) 5071-5403,+55 31 958741-3079,31-850-220-1480
458,(51) 966272-5456,519662725456,(51) 4145-2046,+55 51 966272-5456,51-369-829-2262
459,(71) 969663-9368,719696639368,(71) 3475-1908,+55 71 969663-9368,71-611-979-3734
460,(51) 930618-5179,519306185179,(51) 5167-2685,+55 51 930618-5179,51-687-790-2889
461,(41) 976692-1042,419766921042,(41) 2180-1201,+55 41 976692-1042,41-350-147-8729
462,(51) 960197-3458,519601973458,(51) 2733-1579,+55 51 960197-3458,51-666-922-7870
463,(41) 952179-5067,419521795067,(41) 3704-6241,+55 41 952179-5067,41-377-945-2276
464,(85) 958864-2956,859588642956,(85) 4056-1862,+55 85 958864-2956,85-283-328-9450
465,(11) 962550-2129,119625502129,(11) 5592-8620,+55 11 962550-2129,11-986-389-6090
466,(51) 921322-8483,519213228483,(51) 2032-7044,+55 51 921322-8483,51-305-398-5979
467,(85) 941795-8600,859417958600,(85) 3508-9083,+55 85 941795-8600,85-891-894-4201
468,(81) 942129-3466,819421293466,(81) 2026-7718,+55 81 942129-3466,81-124-338-9872
469,(51) 993354-1157,519933541157,(51) 5895-6488,+55 51 993354-1157,51-101-877-7164
470,(48) 923624-4361,489236244361,(48) 4170-4902,+55 48 923624-4361,48-529-603-1981
471,(31) 946677-2524,319466772524,(31) 2179-4792,+55 31 946677-2524,31-965-632-7767
472,(51) 970091-2391,519700912391,(51) 4378-2565,+55 51 970091-2391,51-617-236-7461
473,(21) 987580-2020,219875802020,(21) 3781-3141,+55 21 987580-2020,21-342-398-5276
474,(51) 961505-6345,519615056345,(51) 3302-8417,+55 51 961505-6345,51-378-339-2223
475,(41) 927840-2785,419278402785,(41) 2636-2731,+55 41 927840-2785,41-268-560-8635
476,(51) 963282-2978,519632822978,(51) 4195-6870,+55 51 963282-2978,51-888-312-8404
477,(48) 970731-5341,489707315341,(48) 5491-2964,+55 48 970731-5341,48-192-261-5984
478,(85) 915286-4522,859152864522,(85) 5423-6370,+55 85 915286-4522,85-251-193-5066
479,(51) 961936-9412,519619369412,(51) 2200-5896,+55 51 961936-9412,51-366-939-3848
480,(11) 963004-8408,119630048408,(11) 4277-5093,+55 11 963004-8408,11-196-573-2669
481,(31) 925919-1195,319259191195,(31) 2252-4641,+55 31 925919-1195,31-233-302-7563
482,(51) 999952-2376,519999522376,(51) 4385-5240,+55 51 999952-2376,51-932-176-1357
483,(21) 935919-8265,219359198265,(21) 5314-3110,+55 21 935919-8265,21-194-967-6432
484,(21) 915596-8552,219155968552,(21) 2207-3752,+55 21 915596-8552,21-687-543-7471
485,(71) 913864-7270,719138647270,(71) 4798-7990,+55 71 913864-7270,71-276-462-4517
486,(31) 946042-5585,319460425585,(31) 3826-3435,+55 31 946042-5585,31-135-728-5026
487,(48) 975390-7750,489753907750,(48) 5615-8848,+55 48 975390-7750,48-162-189-5583
488,(61) 927987-7868,619279877868,(61) 2816-9614,+55 61 927987-7868,61-355-745-9907
489,(11) 960134-6883,119601346883,(11) 3964-9921,+55 11 960134-6883,11-900-596-6636
490,(85) 975849-6269,859758496269,(85) 3590-5430,+55 85 975849-6269,85-284-126-6224
491,(85) 938707-1480,859387071480,(85) 5669-5602,+55 85 938707-1480,85-159-928-8728
492,(81) 956849-4813,819568494813,(81) 5989-3615,+55 81 956849-4813,81-202-353-4951
493,(48) 979951-1916,489799511916,(48) 5129-4594,+55 48 979951-1916,48-689-966-7363
494,(51) 932768-3885,519327683885,(51) 2968-6210,+55 51 932768-3885,51-925-855-6878
495,(85) 913697-6761,859136976761,(85) 5881-3328,+55 85 913697-6761,85-676-292-9064
496,(81) 950508-3876,819505083876,(81) 4008-1621,+55 81 950508-3876,81-192-157-4811
497,(85) 938679-1326,859386791326,(85) 4156-8831,+55 85 938679-1326,85-100-439-4300
498,(31) 954663-3907,319546633907,(31) 5763-6301,+55 31 954663-3907,31-160-122-3420
499,(85) 928566-2817,859285662817,(85) 5467-9622,+55 85 928566-2817,85-981-473-2188
500,(51) 996787-7481,519967877481,(51) 4400-2655,+55 51 996787-7481,51-444-409-6285
501,(31) 930644-8157,319306448157,(31) 5243-8982,+55 31 930644-8157,31-764-424-3854
502,(81) 990440-6846,819904406846,(81) 2914-3872,+55 81 990440-6846,81-487-414-5825
503,(31) 933292-1029,319332921029,(31) 5886-7415,+55 31 933292-1029,31-971-889-1530
504,(31) 988956-6213,319889566213,(31) 5772-4619,+55 31 988956-6213,31-754-679-2705
505,(71) 928434-6425,719284346425,(71) 5052-2274,+55 71 928434-6425,71-343-455-6234
506,(31) 993386-2453,319933862453,(31) 5365-6500,+55 31 993386-2453,31-557-111-5345
507,(41) 942707-2110,419427072110,(41) 3435-5205,+55 41 942707-2110,41-905-210-1020
508,(11) 960585-8179,119605858179,(11) 5000-7875,+55 11 960585-8179,11-270-523-9078
509,(61) 956036-9946,619560369946,(61) 3537-2661,+55 61 956036-9946,61-948-590-4695
510,(31) 969151-2207,319691512207,(31) 5273-1547,+55 31 969151-2207,31-401-120-6221
511,(48) 923726-2215,489237262215,(48) 3400-3787,+55 48 923726-2215,48-484-264-2228
512,(81) 922203-6536,819222036536,(81) 4433-8909,+55 81 922203-6536,81-821-131-8066
513,(31) 989602-8113,319896028113,(31) 2643-1877,+55 31 989602-8113,31-203-439-4367
514,(41) 963645-9849,419636459849,(41) 3086-5612,+55 41 963645-9849,41-404-343-2571
515,(11) 961498-9043,119614989043,(11) 2629-1893,+55 11 961498-9043,11-469-103-8005
516,(21) 948607-8869,219486078869,(21) 2817-2589,+55 21 948607-8869,21-126-311-3798
517,(48) 920739-8758,489207398758,(48) 5456-2892,+55 48 920739-8758,48-415-903-7512
518,(71) 974106-5341,719741065341,(71) 2373-9914,+55 71 974106-5341,71-496-289-7078
519,(61) 958418-4056,619584184056,(61) 3825-1731,+55 61 958418-4056,61-369-550-8619
520,(48) 939654-5400,489396545400,(48) 4311-2009,+55 48 939654-5400,48-254-870-2584
521,(21) 997574-6632,219975746632,(21) 5310-9871,+55 21 997574-6632,21-523-874-4727
522,(81) 917993-7342,819179937342,(81) 5352-9561,+55 81 917993-7342,81-528-648-8779
523,(85) 940886-8803,859408868803,(85) 3224-2293,+55 85 940886-8803,85-504-974-1568
524,(81) 984870-9467,819848709467,(81) 5278-3415,+55 81 984870-9467,81-223-875-8357
525,(31) 931910-4471,319319104471,(31) 5311-4157,+55 31 931910-4471,31-229-143-7936
526,(21) 999538-8133,219995388133,(21) 2827-3422,+55 21 999538-8133,21-954-709-5225
527,(51) 918783-2425,519187832425,(51) 3589-7510,+55 51 918783-2425,51-665-433-5525
528,(81) 970051-1202,819700511202,(81) 5221-9561,+55 81 970051-1202,81-900-529-2843
529,(61) 929613-3428,619296133428,(61) 4320-2641,+55 61 929613-3428,61-208-676-2654
530,(48) 980206-6633,489802066633,(48) 5595-7732,+55 48 980206-6633,48-370-492-8955
531,(85) 989817-8750,859898178750,(85) 2153-3821,+55 85 989817-8750,85-382-512-3356
532,(85) 989777-7581,859897777581,(85) 2158-7484,+55 85 989777-7581,85-439-807-4892
533,(11) 972287-5400,119722875400,(11) 5674-7102,+55 11 972287-5400,11-120-445-5965
534,(48) 946745-9054,489467459054,(48) 5515-2609,+55 48 946745-9054,48-989-333-3201
535,(48) 968079-6257,489680796257,(48) 3103-7828,+55 48 968079-6257,48-719-761-2462
536,(41) 967896-4463,419678964463,(41) 5741-7671,+55 41 967896-4463,41-858-596-9462
537,(51) 917367-9442,519173679442,(51) 5241-3604,+55 51 917367-9442,51-167-418-9303
538,(61) 927779-9589,619277799589,(61) 5601-1474,+55 61 927779-9589,61-277-297-4288
539,(11) 942701-1541,119427011541,(11) 3869-1828,+55 11 942701-1541,11-469-821-4262
540,(48) 958280-8605,489582808605,(48) 4068-7503,+55 48 958280-8605,48-750-226-1500
541,(41) 958819-9008,419588199008,(41) 4433-8308,+55 41 958819-9008,41-281-991-8775
542,(85) 982264-6730,859822646730,(85) 3410-3679,+55 85 982264-6730,85-957-364-2480
543,(48) 913597-7333,489135977333,(48) 2203-3669,+55 48 913597-7333,48-974-685-4511
544,(41) 994853-4688,419948534688,(41) 4775-4387,+55 41 994853-4688,41-375-767-7709
545,(81) 912628-1145,819126281145,(81) 3941-3167,+55 81 912628-1145,81-762-277-1138
546,(41) 943081-6004,419430816004,(41) 4919-5511,+55 41 943081-6004,41-533-485-6713
547,(71) 943029-4575,719430294575,(71) 3911-5950,+55 71 943029-4575,71-793-633-7506
548,(85) 923410-1120,859234101120,(85) 4095-7131,+55 85 923410-1120,85-674-762-5631
549,(48) 999707-2771,489997072771,(48) 3973-2045,+55 48 999707-2771,48-444-383-6327
550,(48) 944229-5895,489442295895,(48) 2771-3456,+55 48 944229-5895,48-629-883-4937
551,(11) 988647-7620,119886477620,(11) 4705-6236,+55 11 988647-7620,11-797-243-1417
552,(71) 948745-5250,719487455250,(71) 5714-7857,+55 71 948745-5250,71-514-497-1578
553,(85) 984978-4111,859849784111,(85) 3405-4643,+55 85 984978-4111,85-802-647-8794
554,(51) 976494-5918,519764945918,(51) 5462-3785,+55 51 976494-5918,51-960-773-3967
555,(48) 922793-8713,489227938713,(48) 2524-5237,+55 48 922793-8713,48-842-927-3999
556,(51) 995778-2463,519957782463,(51) 2910-6820,+55 51 995778-2463,51-328-862-6031
557,(61) 953426-7089,619534267089,(61) 3067-5817,+55 61 953426-7089,61-574-971-2929
558,(71) 917035-2166,719170352166,(71) 3934-4187,+55 71 917035-2166,71-612-222-7253
559,(81) 949106-7768,819491067768,(81) 2221-3470,+55 81 949106-7768,81-240-305-6614
560,(61) 984632-8496,619846328496,(61) 2586-6183,+55 61 984632-8496,61-983-832-3954
561,(21) 973908-6449,219739086449,(21) 4584-3897,+55 21 973908-6449,21-420-749-1950
562,(11) 969251-5481,119692515481,(11) 2857-3762,+55 11 969251-5481,11-690-882-3595
563,(71) 921539-3120,719215393120,(71) 4516-8105,+55 71 921539-3120,71-748-539-7609
564,(61) 972573-7280,619725737280,(61) 2019-1618,+55 61 972573-7280,61-646-304-7112
565,(11) 952233-9700,119522339700,(11) 2780-1293,+55 11 952233-9700,11-792-104-5076
566,(41) 955134-6113,419551346113,(41) 2528-2682,+55 41 955134-6113,41-492-615-6015
567,(31) 918557-1749,319185571749,(31) 3221-5764,+55 31 918557-1749,31-566-845-9524
568,(85) 978697-6535,859786976535,(85) 3776-3192,+55 85 978697-6535,85-450-601-6885
569,(41) 931611-7609,419316117609,(41) 2078-4742,+55 41 931611-7609,41-329-844-3149
570,(41) 912872-9267,419128729267,(41) 2692-3017,+55 41 912872-9267,41-475-828-1612
571,(61) 993928-5190,619939285190,(61) 5159-9761,+55 61 993928-5190,61-738-149-1785
572,(21) 995664-1323,219956641323,(21) 2197-2897,+55 21 995664-1323,21-526-554-7230
573,(21) 981733-5140,219817335140,(21) 3943-3508,+55 21 981733-5140,21-310-811-1152
574,(48) 965164-2654,489651642654,(48) 4713-9524,+55 48 965164-2654,48-376-737-3247
575,(61) 923751-9381,619237519381,(61) 4944-2928,+55 61 923751-9381,61-389-216-2741
576,(71) 936037-4272,719360374272,(71) 5186-5308,+55 71 936037-4272,71-951-635-4304
577,(51) 963707-5839,519637075839,(51) 2656-1645,+55 51 963707-5839,51-661-608-4402
578,(71) 953332-4842,719533324842,(71) 2011-1208,+55 71 953332-4842,71-787-191-2809
579,(85) 997690-9095,859976909095,(85) 2610-2475,+55 85 997690-9095,85-898-623-2229
580,(21) 943540-4787,219435404787,(21) 3870-5850,+55 21 943540-4787,21-370-575-1820
581,(21) 932898-1646,219328981646,(21) 5490-5760,+55 21 932898-1646,21-468-920-6123
582,(61) 925191-2556,619251912556,(61) 5486-1751,+55 61 925191-2556,61-109-972-3267
583,(31) 953078-6857,319530786857,(31) 5663-8171,+55 31 953078-6857,31-736-374-2522
584,(51) 954921-3996,519549213996,(51) 2466-7566,+55 51 954921-3996,51-509-567-5453
585,(61) 972684-7909,619726847909,(61) 4657-3732,+55 61 972684-7909,61-215-235-1960
586,(31) 923593-7816,319235937816,(31) 5732-8908,+55 31 923593-7816,31-921-682-8178
587,(31) 990127-7221,319901277221,(31) 5191-6875,+55 31 990127-7221,31-726-129-3140
588,(71) 973979-2850,719739792850,(71) 5635-7738,+55 71 973979-2850,71-551-147-2037
589,(48) 995848-6148,489958486148,(48) 2050-9598,+55 48 995848-6148,48-885-861-4669
590,(51) 978039-9570,519780399570,(51) 4819-2560,+55 51 978039-9570,51-543-777-5072
591,(71) 955318-7305,719553187305,(71) 2608-1894,+55 71 955318-7305,71-111-758-3571
592,(81) 971510-9123,819715109123,(81) 5561-3709,+55 81 971510-9123,81-176-869-9055
593,(51) 941574-6421,519415746421,(51) 5973-5557,+55 51 941574-6421,51-151-619-4648
